rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,source_file,match_id,match_label,tournament,year,round,game_id,player_A_name,player_B_name,chen_role,opponent_role,opponent_name,shot_by_name,is_chen_shot,shot_type_clean,point_winner_name,point_won_by_chen,win_reason_clean,lose_reason_clean
1,1.0,00:06:59,10478.0,0,1,A,1,Short Serve,,1.0,2.0,,,,,8,568.0,328.0,,,,,8,643.0,468.0,8,576.0,304.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chen Long,TRUE,Short Serve,,,,
1,2.0,00:06:59,10496.0,0,1,B,2,Push,,,2.0,8,568.0,328.0,,5,828.0,580.0,,,,,8,592.0,331.0,8,650.0,477.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chou Tien Chen,FALSE,Push,,,,
1,3.0,00:07:01,10525.0,0,1,A,2,Drop Shot,,,1.0,5,828.0,580.0,,6,748.0,302.0,,,,,9,792.0,592.0,8,638.0,300.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chen Long,TRUE,Drop,,,,
1,4.0,00:07:01,10547.0,0,1,B,2,Push,,1.0,2.0,6,748.0,302.0,,8,753.0,583.0,,,,,8,724.0,302.0,8,729.0,504.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chou Tien Chen,FALSE,Push,,,,
1,5.0,00:07:03,10582.0,0,1,A,2,Transitional Drop,,,1.0,8,753.0,583.0,,6,775.0,328.0,,,,,8,744.0,576.0,8,638.0,300.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chen Long,TRUE,Drop,,,,
1,6.0,00:07:04,10605.0,0,1,B,2,Net Shot,,1.0,2.0,6,775.0,328.0,,1,784.0,403.0,,,,,8,739.0,328.0,8,676.0,547.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chou Tien Chen,FALSE,Net Shot,,,,
1,7.0,00:07:05,10630.0,0,1,A,2,Lift,,,2.0,1,784.0,403.0,,4,760.0,266.0,,,,,1,765.0,420.0,8,717.0,331.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chen Long,TRUE,Lift,,,,
1,8.0,00:07:07,10679.0,0,1,B,3,Smash,,,1.0,4,760.0,266.0,,6,463.0,532.0,Opponent Landing Winner,Landing Winner,B,,4,763.0,264.0,8,712.0,504.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chou Tien Chen,FALSE,Smash,Chou Tien Chen,FALSE,Winner,Winner
2,1.0,00:07:24,11101.0,1,1,B,1,Short Serve,,1.0,2.0,,,,,7,556.0,448.0,,,,,8,638.0,307.0,8,552.0,513.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chou Tien Chen,FALSE,Short Serve,,,,
2,2.0,00:07:24,11120.0,1,1,A,2,Net Shot,,,2.0,7,556.0,448.0,,1,482.0,336.0,,,,,8,566.0,482.0,8,616.0,312.0,0,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,Chen Long,Chou Tien Chen,A,B,Chou Tien Chen,Chen Long,TRUE,Net Shot,,,,
