source_file,match_id,match_label,tournament,year,round,game_id,rally,rally_length,chen_role,opponent_name,chen_score_after,opponent_score_after,chen_score_before_observed,opponent_score_before_observed,point_winner_token,point_winner_name,point_won_by_chen,winner_inferred_from_score,last_shot_by,last_shot_type,win_reason_clean,chen_scoring_reason,opponent_scoring_reason
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,1,8,A,Chou Tien Chen,0,1,0,0,B,Chou Tien Chen,FALSE,FALSE,Chou Tien Chen,Smash,Winner,,Opponent Winner
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,2,7,A,Chou Tien Chen,1,1,0,1,A,Chen Long,TRUE,FALSE,Chou Tien Chen,Net Block,Opponent Failed to Cross Net,Opponent Failed to Cross Net,
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,3,2,A,Chou Tien Chen,2,1,1,1,A,Chen Long,TRUE,FALSE,Chou Tien Chen,Net Shot,Opponent Out,Opponent Out,
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,4,8,A,Chou Tien Chen,2,2,2,1,B,Chou Tien Chen,FALSE,FALSE,Chou Tien Chen,Net Kill,Winner,,Opponent Winner
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,5,8,A,Chou Tien Chen,3,2,2,2,A,Chen Long,TRUE,FALSE,Chen Long,Smash,Winner,Winner,
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,6,6,A,Chou Tien Chen,3,3,3,2,B,Chou Tien Chen,FALSE,FALSE,Chou Tien Chen,Smash,Winner,,Opponent Winner
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,7,35,A,Chou Tien Chen,4,3,3,3,A,Chen Long,TRUE,FALSE,Chou Tien Chen,Net Block,Opponent Failed to Cross Net,Opponent Failed to Cross Net,
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,8,9,A,Chou Tien Chen,4,4,4,3,B,Chou Tien Chen,FALSE,FALSE,Chen Long,Smash,Opponent Out,,Chen Out
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,9,7,A,Chou Tien Chen,4,5,4,4,B,Chou Tien Chen,FALSE,FALSE,Chou Tien Chen,Smash,Winner,,Opponent Winner
CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal_set1.csv,denmark_open_2019_qf_chou,Denmark Open 2019 QF,Denmark Open,2019,Quarterfinal,1,10,8,A,Chou Tien Chen,4,6,4,5,B,Chou Tien Chen,FALSE,FALSE,Chen Long,Lift,Opponent Out,,Chen Out
